"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Godrej Agrovet Ltd Ordinary Shares","GODREJAGRO","540743","Consumer Defensive","1814425961.4","1751234000","0.26","2240862","","","/mutual-fund/holding-history/10901/62812/"
"West Coast Paper Mills Ltd","WSTCSTPAPR","500444","Basic Materials","1885343703.75","1699245000","0.26","3359187","","","/mutual-fund/holding-history/10901/1530/"
"Esab India Ltd","ESABINDIA","500133","Industrials","1879898382","1685730000","0.25","326882","","","/mutual-fund/holding-history/10901/386/"
"Vindhya Telelinks Ltd","VINDHYATEL","517015","Industrials","1658686600","1669810000","0.25","975698","","","/mutual-fund/holding-history/10901/1486/"
"J.B. Chemicals & Pharmaceuticals Ltd","JBCHEPHARM","506943","Healthcare","1671997509","1664366000","0.25","991107","3235","0.33","/mutual-fund/holding-history/10901/665/"
"DOMS Industries Ltd","DOMS","544045","Industrials","1555221652.3","1640100000","0.25","650911","","","/mutual-fund/holding-history/10901/1819409/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","1709471956.5","1614702000","0.24","1334795","","","/mutual-fund/holding-history/10901/100478/"
"Vesuvius India Ltd","VESUVIUS","520113","Industrials","1575792000","1591200000","0.24","2880000","","","/mutual-fund/holding-history/10901/1475/"
"KEC International Ltd","KEC","532714","Industrials","1503605031.6","1589716000","0.24","1730868","","","/mutual-fund/holding-history/10901/727/"
"ACME Solar Holdings Ltd","ACMESOLAR","544283","Utilities","1800807865.12","1582486000","0.24","6350264","","","/mutual-fund/holding-history/10901/2759890/"
"Infosys Ltd","INFY","500209","Technology","1551333618","1582252000","0.24","987796","987796","New","/mutual-fund/holding-history/10901/630/"
"G R Infraprojects Ltd","GRINFRA","543317","Industrials","1503424090.8","1570484000","0.24","1191114","","","/mutual-fund/holding-history/10901/577216/"
"Union Bank of India","UNIONBANK","532477","Financial Services","1411386180.96","1514735000","0.23","9861558","","","/mutual-fund/holding-history/10901/1447/"
"Just Dial Ltd","JUSTDIAL","535648","Communication Services","1406677226.5","1511629000","0.23","1627157","","","/mutual-fund/holding-history/10901/704/"
"Data Patterns (India) Ltd","DATAPATTNS","543428","Industrials","1428830224.5","1475212000","0.22","508571","","","/mutual-fund/holding-history/10901/755079/"
"MTAR Technologies Ltd","MTARTECH","543270","Industrials","1418688824.4","1469442000","0.22","926158","","","/mutual-fund/holding-history/10901/436155/"
"FSN E-Commerce Ventures Ltd","NYKAA","543384","Consumer Cyclical","1538611819.92","1457481000","0.22","6994008","","","/mutual-fund/holding-history/10901/705188/"
"NIIT Ltd","NIITLTD","500304","Consumer Defensive","1353327838.8","1451661000","0.22","11111066","","","/mutual-fund/holding-history/10901/941/"
"LMW Ltd","LMW","500252","Industrials","1316922470","1404073000","0.21","84041","10000","13.51","/mutual-fund/holding-history/10901/785/"
"Sandhar Technologies Ltd Ordinary Shares","SANDHAR","541163","Consumer Cyclical","1247823055","1377986000","0.21","2562265","","","/mutual-fund/holding-history/10901/80794/"
"Sanofi India Ltd","SANOFI","500674","Healthcare","1261910824","1363450000","0.2","213992","","","/mutual-fund/holding-history/10901/1182/"
"Automotive Axles Ltd","AUTOAXLES","505010","Consumer Cyclical","1352827386","1360427000","0.2","759930","","","/mutual-fund/holding-history/10901/135/"
"Vedant Fashions Ltd","MANYAVAR","543463","Consumer Cyclical","1296041725","1321121000","0.2","1628500","","","/mutual-fund/holding-history/10901/816269/"
"Can Fin Homes Ltd","CANFINHOME","511196","Financial Services","1313270462","1303734000","0.2","1644260","","","/mutual-fund/holding-history/10901/234/"
"Raymond Lifestyle Ltd","RAYMONDLSL","544240","Consumer Cyclical","1139572302.2","1296792000","0.19","990674","","","/mutual-fund/holding-history/10901/2613901/"
"Sonata Software Ltd","SONATSOFTW","532221","Technology","1358700179.9","1295211000","0.19","3158666","","","/mutual-fund/holding-history/10901/1267/"
"Raymond Realty Ltd","RAYMONDREL","544420","Real Estate","935815805.1","1287010000","0.19","1238343","1238343","New","/mutual-fund/holding-history/10901/3157935/"
"Protean eGov Technologies Ltd","","544021","Technology","1145062543","1276808000","0.19","1454140","","","/mutual-fund/holding-history/10901/1776577/"
"Birlasoft Ltd","BSOFT","532400","Technology","1171213886.7","1257825000","0.19","2901558","","","/mutual-fund/holding-history/10901/763/"
